PDB	chain	mean_entropy	mean_KL
1B4T	A	0.530684395117	0.412384634018
1CI0	A	0.937457243083	0.385351330945
1EFV	B	0.653366971799	0.487866587671
1G58	B	0.741545656647	0.385145650786
1GV3	A	0.610744683152	0.454517180696
1HUJ	A	0.637623127509	0.327546140741
1HUR	A	0.948294405086	0.338314839429
1IBS	A	0.667031574726	0.52986547623
1JLW	A	0.780815013795	0.376525191378
1KY2	A	0.623883464046	0.336563477778
1KZL	A	0.646755712596	0.531037627238
1M3U	A	0.497902039142	0.479164241279
1MOZ	A	0.735028008152	0.475081215479
1OKC	A	0.72962081733	0.449790357915
1PV1	A	0.610655942878	0.460811611659
1QMV	A	0.645161071909	0.346846341012
1R6M	A	0.705934146951	0.410681821949
1RII	A	0.460267741868	0.799933338518
1V9S	B	0.585004172515	0.623681909731
1W7W	B	0.55325804242	0.383315735823
1X1O	B	0.500133703103	0.71557234403
1XTD	A	0.630524058858	0.569388013394
1YPI	A	0.672074361464	0.428974219713
1YSB	A	0.499263285848	0.676710000602
1ZNN	A	0.592042282516	0.246104003441
1ZWK	A	0.546015014404	0.344589928387
2A84	A	0.693930274417	0.814493234858
2AIU	A	0.456031089838	0.371431958726
2BCG	Y	0.566620899107	0.35365406182
2BR9	A	0.643070418426	0.402431919465
2CFE	A	0.453522763671	0.431562477288
2CJM	C	0.758121425344	0.394651027792
2CNV	A	0.67402939057	0.555521857976
2ESF	A	0.945270160598	0.353872881337
2EU8	A	0.703209657972	0.336455256434
2FLI	A	0.790757266203	0.441631111058
2G0N	B	0.629939238695	0.385737262539
2GV5	D	0.484993652608	0.365878982963
