PDB	chain	mean_entropy	mean_KL
1B4T	A	0.996222562162	0.295623975611
1CI0	A	1.44613625296	0.472838413581
1EFV	B	1.23012841018	0.301588519361
1G58	B	1.33757313402	0.372759713177
1GV3	A	1.28916736134	0.308538670971
1HUJ	A	1.13729637733	0.373879978709
1HUR	A	1.47285138478	0.377581742195
1IBS	A	1.31769711593	0.351460077911
1JLW	A	1.29770760541	0.358375279368
1KY2	A	1.20337900203	0.329649625166
1KZL	A	1.22983945113	0.351167704042
1M3U	A	1.11526860172	0.372063831186
1MOZ	A	1.38834562156	0.354929800223
1OKC	A	1.31126806604	0.489589670873
1PV1	A	1.17539587824	0.362098299122
1QMV	A	1.33897976787	0.386005391432
1R6M	A	1.32992967843	0.400162110827
1RII	A	0.871473328722	0.505965532116
1V9S	B	1.43622406929	0.259905756314
1W7W	B	1.17149497958	0.330251414879
1X1O	B	1.09430703255	0.312935301385
1XTD	A	1.23319924896	0.334871909205
1YPI	A	1.42255666067	0.386386330791
1YSB	A	1.14550992674	0.430734254884
1ZNN	A	1.23626287199	0.445511710182
1ZWK	A	1.24540948304	0.326655121919
2A84	A	1.27188524544	0.505455645872
2AIU	A	1.72488085208	0.443089857818
2BCG	Y	1.19138523472	0.376065943417
2BR9	A	1.1986421954	0.446226412554
2CFE	A	0.99501249588	0.361601449021
2CJM	C	1.40941191306	0.434342071407
2CNV	A	1.28018148365	0.469737005597
2ESF	A	1.50167440727	0.408497661693
2EU8	A	1.41965953768	0.495486844847
2FLI	A	1.3811321369	0.367795035274
2G0N	B	1.45685591393	0.456837806019
2GV5	D	1.0143658923	0.199828983297
