PDB	chain	mean_entropy	mean_KL
1B4T	A	0.620058478866	0.392099643743
1CI0	A	1.05141613356	0.381382628803
1EFV	B	0.719520646377	0.377414320159
1G58	B	0.803862540665	0.470262775664
1GV3	A	0.775983380972	0.407777376222
1HUJ	A	0.824137612238	0.338616319736
1HUR	A	0.924299729248	0.28427129269
1IBS	A	0.970554682582	0.382586410262
1JLW	A	0.83152580745	0.406120891042
1KY2	A	0.744134292627	0.306724820708
1KZL	A	0.730032232292	0.452719206357
1M3U	A	0.71386673101	0.376392907993
1MOZ	A	0.885528460756	0.296220023243
1OKC	A	0.89412920615	0.395398271674
1PV1	A	0.896796296827	0.364957691651
1QMV	A	0.873533485482	0.321734974801
1R6M	A	0.926422152578	0.330571670167
1RII	A	0.521014427904	0.705960429075
1V9S	B	0.885281985149	0.325550205158
1W7W	B	0.729416440055	0.319372484146
1X1O	B	0.593953285643	0.536924494245
1XTD	A	0.571291826971	0.443186046723
1YPI	A	1.04262272962	0.340140687808
1YSB	A	0.739907230537	0.532805673813
1ZNN	A	0.889550153323	0.339736224367
1ZWK	A	0.770025978956	0.286106061028
2A84	A	0.797161941223	0.768933190426
2AIU	A	1.12508618895	0.226214891661
2BCG	Y	0.719439940562	0.353946734322
2BR9	A	0.80918192028	0.413114333933
2CFE	A	0.546858105572	0.388856771326
2CJM	C	1.03524543443	0.343781587404
2CNV	A	0.88411734096	0.513172070811
2ESF	A	1.15328297816	0.351445041946
2EU8	A	0.974068907288	0.352844878555
2FLI	A	0.984156882599	0.428440287328
2G0N	B	1.09117227065	0.394802192049
2GV5	D	0.467255503933	0.236111666601
