align_data_array_ordered_1B4T_A_0.6.dat,0.6600050,-0.3203754
align_data_array_ordered_1CI0_A_0.6.dat,0.4604895,-0.1098844
align_data_array_ordered_1EFV_B_0.6.dat,0.5500123,-0.1815646
align_data_array_ordered_1G58_B_0.6.dat,0.5347935,-0.1389021
align_data_array_ordered_1GV3_A_0.6.dat,0.5676098,-0.2763716
align_data_array_ordered_1HUJ_A_0.6.dat,0.6498295,-0.2627169
align_data_array_ordered_1HUR_A_0.6.dat,0.4989372,-0.1554033
align_data_array_ordered_1IBS_A_0.6.dat,0.5427301,-0.1626025
align_data_array_ordered_1JLW_A_0.6.dat,0.5112539,-0.1174898
align_data_array_ordered_1KY2_A_0.6.dat,0.5247849,-0.2203543
align_data_array_ordered_1KZL_A_0.6.dat,0.6028968,-0.2776529
align_data_array_ordered_1M3U_A_0.6.dat,0.6366553,-0.3077123
align_data_array_ordered_1MOZ_A_0.6.dat,0.4894205,-0.1562332
align_data_array_ordered_1OKC_A_0.6.dat,0.4733613,-0.1242524
align_data_array_ordered_1PV1_A_0.6.dat,0.6280141,-0.2294949
align_data_array_ordered_1QMV_A_0.6.dat,0.5351922,-0.1738362
align_data_array_ordered_1R6M_A_0.6.dat,0.4952621,-0.2195921
align_data_array_ordered_1RII_A_0.6.dat,0.6843957,-0.4190214
align_data_array_ordered_1V9S_B_0.6.dat,0.44248654,-0.05104472
align_data_array_ordered_1W7W_B_0.6.dat,0.5317113,-0.2330116
align_data_array_ordered_1X1O_B_0.6.dat,0.6265889,-0.2260600
align_data_array_ordered_1XTD_A_0.6.dat,0.44177902,-0.04709156
align_data_array_ordered_1YPI_A_0.6.dat,0.47599881,-0.05066033
align_data_array_ordered_1YSB_A_0.6.dat,0.5778062,-0.2993442
align_data_array_ordered_1ZNN_A_0.6.dat,0.5764085,-0.2155101
align_data_array_ordered_1ZWK_A_0.6.dat,0.5414099,-0.1862131
align_data_array_ordered_2A84_A_0.6.dat,0.5231450,-0.1288581
align_data_array_ordered_2AIU_A_0.6.dat,0.4176375,0.1159858
align_data_array_ordered_2BCG_Y_0.6.dat,0.5267438,-0.1558432
align_data_array_ordered_2BR9_A_0.6.dat,0.5266542,-0.1812553
align_data_array_ordered_2CFE_A_0.6.dat,0.7070681,-0.4988648
align_data_array_ordered_2CJM_C_0.6.dat,0.5419197,-0.1508237
align_data_array_ordered_2CNV_A_0.6.dat,0.5556289,-0.1199952
align_data_array_ordered_2ESF_A_0.6.dat,0.4639929,-0.1125369
align_data_array_ordered_2EU8_A_0.6.dat,0.46369489,-0.07266354
align_data_array_ordered_2FLI_A_0.6.dat,0.5588463,-0.2046827
align_data_array_ordered_2G0N_B_0.6.dat,0.45108231,-0.06185546
align_data_array_ordered_2GV5_D_0.6.dat,0.46755678,-0.07302811
