PDB	chain	mean_entropy	mean_KL
1B4T	A	0.666590318511	0.377737433984
1CI0	A	1.11515777324	0.380484347593
1EFV	B	0.782765026214	0.336009554064
1G58	B	0.865122295061	0.447950008887
1GV3	A	0.822520754913	0.363524201193
1HUJ	A	0.849631181627	0.357726895226
1HUR	A	0.976362755927	0.281352572661
1IBS	A	1.00093764354	0.363598653439
1JLW	A	0.885926630724	0.356245922692
1KY2	A	0.799872984233	0.281583089421
1KZL	A	0.786901830569	0.430790533687
1M3U	A	0.757365791602	0.354544521023
1MOZ	A	0.956577194651	0.290010399145
1OKC	A	0.937568884218	0.409494893169
1PV1	A	0.926698984963	0.362777662443
1QMV	A	0.941078145444	0.30923813075
1R6M	A	0.9837594024	0.325261723707
1RII	A	0.552868652089	0.633222771894
1V9S	B	0.94090893186	0.287566072258
1W7W	B	0.780560174022	0.305091269104
1X1O	B	0.641627670421	0.494106833453
1XTD	A	0.587416122201	0.450650616068
1YPI	A	1.09552968418	0.344451354825
1YSB	A	0.796395333182	0.516488009049
1ZNN	A	0.943182225631	0.354813115862
1ZWK	A	0.812801579236	0.272860704902
2A84	A	0.833505287606	0.725143709703
2AIU	A	1.21569278238	0.25378850645
2BCG	Y	0.769467560218	0.361919834848
2BR9	A	0.832877456517	0.397842715817
2CFE	A	0.613531885904	0.381652591254
2CJM	C	1.07111333536	0.35379125109
2CNV	A	0.931751777731	0.513742091676
2ESF	A	1.22103954519	0.359445324674
2EU8	A	1.01471230037	0.346663282457
2FLI	A	1.026411575	0.415483392774
2G0N	B	1.12666810165	0.393970744949
2GV5	D	0.533287390698	0.21234581211
