PDB	mean_KL_temp_0.0	mean_KL_temp_0.03	mean_KL_temp_0.1	mean_KL_temp_0.3	mean_KL_temp_0.6	mean_KL_temp_0.9	mean_KL_temp_1.2	mean_KL_split_natural
1B4T	0.412384634018	0.392099643743	0.377737433984	0.318598832034	0.295623975611	0.346680463026	0.386336739993	0.0393695625246
1CI0	0.385351330945	0.381382628803	0.380484347593	0.419242533347	0.472838413581	0.513882752075	0.56749885702	0.0556182925663
1EFV	0.487866587671	0.377414320159	0.336009554064	0.282814954033	0.301588519361	0.353977863714	0.414748522426	0.0562946011822
1G58	0.385145650786	0.470262775664	0.447950008887	0.374516610285	0.372759713177	0.414118816413	0.475536267875	0.0393156969927
1GV3	0.454517180696	0.407777376222	0.363524201193	0.297698048398	0.308538670971	0.3532500516	0.405212083146	0.0426480535104
1HUJ	0.327546140741	0.338616319736	0.357726895226	0.351478472249	0.373879978709	0.38755630318	0.417610097495	0.0615744159659
1HUR	0.338314839429	0.28427129269	0.281352572661	0.297625290073	0.377581742195	0.475442778374	0.585660677271	0.0389868941573
1IBS	0.52986547623	0.382586410262	0.363598653439	0.353883805249	0.351460077911	0.356126963462	0.372786657458	0.0356256049018
1JLW	0.376525191378	0.406120891042	0.356245922692	0.322957014778	0.358375279368	0.423291296551	0.489150316043	0.0603698884493
1KY2	0.336563477778	0.306724820708	0.281583089421	0.287207364295	0.329649625166	0.401793236757	0.47013937144	0.0901458507036
1KZL	0.531037627238	0.452719206357	0.430790533687	0.370018606106	0.351167704042	0.391654501092	0.444126834204	0.0825494622407
1M3U	0.479164241279	0.376392907993	0.354544521023	0.359372982407	0.372063831186	0.400458184946	0.429927855455	0.0563926504881
1MOZ	0.475081215479	0.296220023243	0.290010399145	0.298634067835	0.354929800223	0.442522435029	0.495580370393	0.070316124186
1OKC	0.449790357915	0.395398271674	0.409494893169	0.449630571716	0.489589670873	0.509780844262	0.554424891768	0.0532437302827
1PV1	0.460811611659	0.364957691651	0.362777662443	0.359081192892	0.362098299122	0.383043582849	0.401846939116	0.0409748248396
1QMV	0.346846341012	0.321734974801	0.30923813075	0.32307832554	0.386005391432	0.429514317526	0.491753605731	0.0355135979935
1R6M	0.410681821949	0.330571670167	0.325261723707	0.362991261915	0.400162110827	0.451854887341	0.508529370148	0.0274530674843
1RII	0.799933338518	0.705960429075	0.633222771894	0.566283260346	0.505965532116	0.496316965486	0.506348577597	0.0273694288311
1V9S	0.623681909731	0.325550205158	0.287566072258	0.243868888647	0.259905756314	0.309130397311	0.362106566525	0.0453812252472
1W7W	0.383315735823	0.319372484146	0.305091269104	0.289711936287	0.330251414879	0.400571709351	0.451282547891	0.041946852945
1X1O	0.71557234403	0.536924494245	0.494106833453	0.391054967358	0.312935301385	0.313854458942	0.33983104459	0.0431616457996
1XTD	0.569388013394	0.443186046723	0.450650616068	0.362470569853	0.334871909205	0.409791375713	0.517677471367	0.0569838768387
1YPI	0.428974219713	0.340140687808	0.344451354825	0.364431990834	0.386386330791	0.448675142784	0.489640929561	0.0455819202946
1YSB	0.676710000602	0.532805673813	0.516488009049	0.480423787311	0.430734254884	0.42711228722	0.461829103588	0.0542867704603
1ZNN	0.246104003441	0.339736224367	0.354813115862	0.389549651811	0.445511710182	0.506825583511	0.565045906246	0.0350677634361
1ZWK	0.344589928387	0.286106061028	0.272860704902	0.279985401892	0.326655121919	0.401816527755	0.462726984702	0.0880246750381
2A84	0.814493234858	0.768933190426	0.725143709703	0.62350478751	0.505455645872	0.497299476135	0.472377262546	0.0696711572334
2AIU	0.371431958726	0.226214891661	0.25378850645	0.312018553137	0.443089857818	0.610574781606	0.706892020849	0.102177185442
2BCG	0.35365406182	0.353946734322	0.361919834848	0.341653419848	0.376065943417	0.414349136226	0.474743762804	0.0311279379153
2BR9	0.402431919465	0.413114333933	0.397842715817	0.394919549872	0.446226412554	0.503620410707	0.557372162881	0.0515575701258
2CFE	0.431562477288	0.388856771326	0.381652591254	0.367111437939	0.361601449021	0.400562098268	0.456317015957	0.0206077900385
2CJM	0.394651027792	0.343781587404	0.35379125109	0.383286609135	0.434342071407	0.514155073701	0.566297376122	0.0465488274581
2CNV	0.555521857976	0.513172070811	0.513742091676	0.487220508768	0.469737005597	0.476332957338	0.502353866649	0.0388577196869
2ESF	0.353872881337	0.351445041946	0.359445324674	0.38757589962	0.408497661693	0.445089133834	0.479174512326	0.0513457240735
2EU8	0.336455256434	0.352844878555	0.346663282457	0.411479663521	0.495486844847	0.580915198342	0.639568783077	0.0477753988641
2FLI	0.441631111058	0.428440287328	0.415483392774	0.385832962005	0.367795035274	0.390909040505	0.410120760281	0.0356424377706
2G0N	0.385737262539	0.394802192049	0.393970744949	0.405147475914	0.456837806019	0.509333654319	0.576445365561	0.0537948061109
2GV5	0.365878982963	0.236111666601	0.21234581211	0.179446261772	0.199828983297	0.308009987358	0.419723080433	0.0341554470378
