PDB	mean_KL_temp_0.0	mean_KL_temp_0.03	mean_KL_temp_0.1	mean_KL_temp_0.3	mean_KL_temp_0.6	mean_KL_temp_0.9	mean_KL_temp_1.2	mean_KL_split_natural
1B4T	0.828259172248	0.525565211081	0.487695574699	0.398592082843	0.35692464604	0.372684005801	0.389891548609	0.0494782414458
1CI0	0.804261411898	0.489734642876	0.465896657673	0.436053387411	0.43146181914	0.435080640156	0.458842368755	0.086731096019
1EFV	0.691623276349	0.454009932656	0.423419336778	0.404288116709	0.446199050733	0.490735469667	0.532456291329	0.0633702856826
1G58	0.657432347509	0.48786742016	0.471172238376	0.419876067334	0.422072455099	0.449168348371	0.491568398337	0.0462172351746
1GV3	0.652379176263	0.428303689577	0.393608701846	0.345246916748	0.350434577159	0.37962720665	0.413447202174	0.0576784797108
1HUJ	0.785779937912	0.550457564516	0.529319338284	0.447646468906	0.405145728358	0.389397301828	0.398841272453	0.108446892748
1HUR	0.677787491585	0.395477362643	0.384941068895	0.369005581814	0.396660611215	0.446294105683	0.503492897575	0.0587821357225
1IBS	0.738748288814	0.482723348834	0.450282106245	0.425539573874	0.409388317853	0.404191721349	0.425986317381	0.0374416796752
1JLW	0.587241389484	0.484613404422	0.461798702766	0.45396065535	0.480844904102	0.50745662566	0.548417936061	0.0919604174244
1KY2	0.608423030872	0.415028333252	0.38940215286	0.371807239292	0.391974699215	0.435661191257	0.478653004813	0.123380539852
1KZL	0.965412930404	0.65858104328	0.605990129694	0.503613829157	0.439889712718	0.440726258862	0.462666573352	0.0993399512429
1M3U	0.662044113935	0.413624146071	0.39410897803	0.358539890669	0.348001568668	0.366915440368	0.384164455389	0.073565409393
1MOZ	0.642873102415	0.388499019603	0.387007740936	0.374303772685	0.421248840286	0.475528513757	0.515050843191	0.106033981696
1OKC	0.563218356916	0.431652648831	0.431821660534	0.460206538628	0.49733160054	0.539865923834	0.575847379812	0.085366014302
1PV1	0.93223483274	0.505045450314	0.481076422717	0.445461207359	0.414574953378	0.409514704158	0.413748265752	0.0692844798186
1QMV	0.64197771611	0.403281434854	0.384680024605	0.379691410057	0.409825382518	0.44825227288	0.490078956874	0.0513244896032
1R6M	0.737576158959	0.512804350773	0.506710777264	0.510225073983	0.523910775444	0.550518915159	0.580151349004	0.0365783967224
1RII	0.876189929752	0.65100152192	0.599314273043	0.510361874531	0.462277251536	0.451140409423	0.459466488333	0.0505676402831
1V9S	0.724500655892	0.468863482048	0.464825881049	0.427754804162	0.46170839149	0.500979862951	0.526107875035	0.0482545098668
1W7W	0.724186710503	0.441517191063	0.422947608921	0.390346068698	0.406785913092	0.436279110567	0.479909679248	0.0557973660511
1X1O	0.929112967828	0.60741038983	0.556308585576	0.454557598932	0.379925705367	0.36261050518	0.368089572748	0.0616009208146
1XTD	0.678054274645	0.50272918406	0.489580636799	0.498528460605	0.521941745396	0.587865312948	0.629049724968	0.0959891657472
1YPI	0.755085319626	0.386509423586	0.374487541293	0.357524242993	0.361239051954	0.396132933797	0.421057885577	0.0591351471222
1YSB	0.775169849823	0.464171629425	0.436656889862	0.392431367792	0.375488597239	0.39394747633	0.434955143808	0.116679052232
1ZNN	0.527572841845	0.418518695979	0.410793900125	0.398889195213	0.430111810442	0.466969666886	0.506039171448	0.0551105225696
1ZWK	0.609296154259	0.423151867328	0.406676774426	0.394702899959	0.397934035377	0.441384533175	0.473980448348	0.0982694691846
2A84	0.89589049198	0.660283284456	0.618404008531	0.518272217193	0.449646338607	0.439331886251	0.43485054302	0.0777696035818
2AIU	0.66148021376	0.459332275508	0.438364082364	0.377176291428	0.410397802734	0.477240404066	0.542101964969	0.0930318985772
2BCG	0.950372294585	0.563501675221	0.520296379505	0.433423098693	0.409275341065	0.428394837794	0.458837415188	0.0569844670033
2BR9	0.599317719726	0.505550304207	0.492130026853	0.477480679433	0.473887710854	0.506524213529	0.537684586137	0.0839923382964
2CFE	0.645488567111	0.480501553781	0.445348653097	0.363644718108	0.360031392121	0.395490245924	0.44502104886	0.0287230826148
2CJM	0.749179580993	0.469353059104	0.464612391378	0.434923193913	0.425028378032	0.460782455661	0.483031286313	0.0644106008391
2CNV	0.860142600815	0.613519280106	0.574301444137	0.494222173678	0.426503459753	0.410030786552	0.417627523704	0.0650593216553
2ESF	0.717883558638	0.443772528998	0.434500266939	0.412210460893	0.403023951423	0.417547744361	0.450295306708	0.0709027116953
2EU8	0.664506928607	0.440454943587	0.414797128531	0.392536823425	0.412077023482	0.450704896726	0.484746515734	0.0692448705178
2FLI	0.707705492234	0.477720332815	0.447345622254	0.392251719689	0.347699465443	0.357648733934	0.367721994597	0.0439582835832
2G0N	0.628341637974	0.491114137864	0.482054636833	0.475132085379	0.493272485783	0.532399132755	0.563503158069	0.0827589098563
2GV5	0.688899960177	0.447041829343	0.422211411846	0.396986986449	0.437224637671	0.489480257311	0.542717870078	0.0907638124906
